month_partition;watch_date;channelname;content_playback_type;daily_total_minute;nr_unique_viewers
202601;2026-01-01;BBC Earth;LTV;163974,13;4413
202601;2026-01-01;Brazzers TV;LTV;29304,38;3768
202601;2026-01-01;Das Erste;LTV;26797,96;509
202601;2026-01-01;Doku TV;LTV;229392,07;9235
202601;2026-01-01;France 24 francuski;LTV;4724,54;243
202601;2026-01-01;Hayat;CUTV;11823,64;273
202601;2026-01-01;RAI 3;LTV;11393,26;346
202601;2026-01-01;SK 5;LTV;23995,66;1210
202601;2026-01-01;Toon Kids;CUTV;5728,66;219
202601;2026-01-02;Cinestar Comedy & Family;CUTV;92112,36;1340
202601;2026-01-02;Daystar;LTV;1424,56;125
202601;2026-01-02;History;CUTV;44846,76;866
202601;2026-01-02;Kanal Ri;CUTV;2411,2;139
202601;2026-01-02;Libertas TV;LTV;168697,21;3768
202601;2026-01-02;Nick Jr.;IR;7028,16;171
202601;2026-01-02;Pink Film;LTV;15100,3;344
202601;2026-01-02;RTL njemački;LTV;23643,24;317
202601;2026-01-02;SK 6;LTV;36542,96;1816
202601;2026-01-02;Sportska Televizija;LTV;2317807,02;27885
202601;2026-01-02;TV Zapad;LTV;212573,71;5448
202601;2026-01-03;Cinestar Fantasy;CUTV;83899,6;1228
202601;2026-01-03;DM SAT;LTV;245861,53;4282
202601;2026-01-03;Disney Junior;CUTV;23783,27;464
202601;2026-01-03;HBO;CUTV;89114,63;1243
202601;2026-01-03;Hit TV;LTV;101324,62;1962
202601;2026-01-03;Klasik;CUTV;156398,5;2434
202601;2026-01-03;Laudato TV;IR;3358,44;103
202601;2026-01-03;NonStop;LTV;55527,65;1493
202601;2026-01-03;RTL;IR;336044,5;5642
202601;2026-01-03;SK 7;LTV;6628,17;887
202601;2026-01-03;STAR Life;IR;21705,43;343
202601;2026-01-03;Viasat Nature;LTV;422382,33;12684
202601;2026-01-03;Vivid Red;LTV;56330,62;6628
202601;2026-01-04;Cartoonito;CUTV;19411,7;398
202601;2026-01-04;CineStar Action & Thriller;IR;53929,69;737
202601;2026-01-04;Mediaset Italia;LTV;63038,74;1016
202601;2026-01-04;Mini TV;IR;4711,39;106
202601;2026-01-04;Nicktoons;CUTV;24218,44;485
202601;2026-01-04;Nova TV;CUTV;922647,73;12180
202601;2026-01-04;Pink;CUTV;15130,72;108
202601;2026-01-04;Pink BH;LTV;122958,35;982
202601;2026-01-04;SK 8;LTV;10816,19;924
202601;2026-01-04;TV Jadran;LTV;52517,98;3455
202601;2026-01-04;Viasat Explore;IR;4480,25;107
202601;2026-01-05;AMC;CUTV;205378,07;2475
202601;2026-01-05;Arena Fight;CUTV;15925,44;262
202601;2026-01-05;Disney Channel;CUTV;7094,56;155
202601;2026-01-05;Epic Drama;IR;15265,15;229
202601;2026-01-05;Hustler TV;CUTV;15897,17;1299
202601;2026-01-05;Nickelodeon HD;CUTV;57487,03;898
202601;2026-01-05;OTV;LTV;276653,41;6865
202601;2026-01-05;RTL Adria;LTV;31933,13;421
202601;2026-01-05;SBTV;LTV;83082,98;4705
202601;2026-01-05;SK 9;LTV;8203,94;805
202601;2026-01-05;STAR Movies;LTV;2202814,43;38438
202601;2026-01-05;Toxic Folk;LTV;95579,56;1496
202601;2026-01-05;Viasat History;IR;14483,23;280
202601;2026-01-05;Z1;CUTV;6317,36;316
202601;2026-01-06;Arenasport 10;LTV;4578,25;269
202601;2026-01-06;BBC Earth;IR;5393,18;110
202601;2026-01-06;Doku TV;IR;10554,24;230
202601;2026-01-06;ExtraTV;LTV;386897,26;3651
202601;2026-01-06;Nat Geo Wild;CUTV;29209,55;579
202601;2026-01-06;STAR;LTV;1189384,67;16497
202601;2026-01-06;Sky News;LTV;61420,02;1152
202601;2026-01-07;3SAT;LTV;15443,32;236
202601;2026-01-07;Cinemax 2;CUTV;19144,76;324
202601;2026-01-07;Extreme Sports;LTV;17026,42;1005
202601;2026-01-07;France 24 engleski;LTV;7471,47;375
202601;2026-01-07;Hayat;LTV;280328,64;4817
202601;2026-01-07;IDJ TV;LTV;8498,24;339
202601;2026-01-07;Toon Kids;LTV;132253,18;1751
202601;2026-01-08;Balkanika;LTV;9214,14;362
202601;2026-01-08;Cinestar Comedy & Family;LTV;746854,78;18119
202601;2026-01-08;Crime & Investigation;CUTV;24610,61;297
202601;2026-01-08;Dizi;LTV;18997,72;156
202601;2026-01-08;History;LTV;1137286,94;16585
202601;2026-01-08;Kanal Ri;LTV;49055,89;2220
202601;2026-01-08;TV Nakupi;LTV;10229,41;341
202601;2026-01-08;Vivid Red;IR;650,95;107
202601;2026-01-09;Cinestar Fantasy;LTV;800237,5;21834
202601;2026-01-09;Disney Junior;LTV;195375,89;2239
202601;2026-01-09;HBO;LTV;405677,36;8609
202601;2026-01-09;HRT 1;CUTV;1322881,97;21202
202601;2026-01-09;Klasik;LTV;1654835,01;27871
202601;2026-01-09;Pickbox 1;CUTV;350483,1;3812
202601;2026-01-10;CGTN Documentary;LTV;46775,48;2823
202601;2026-01-10;CineStar Action & Thriller;LTV;1908106,06;39367
202601;2026-01-10;History 2;IR;6032,82;144
202601;2026-01-10;Hit mjeseca;LTV;879225,98;29176
202601;2026-01-10;Mini TV;LTV;268400,76;3241
202601;2026-01-10;RAI 1;LTV;164999,82;989
202601;2026-01-10;SK 3;LTV;348620,8;11021
202601;2026-01-10;STAR Movies;CUTV;165999,88;1822
202601;2026-01-10;Toxic TV;LTV;83514,17;1637
202601;2026-01-10;Viasat Explore;LTV;1044956,42;17514
202601;2026-01-10;bravo! TV;LTV;458715,11;4412
202601;2026-01-11;Baby TV;LTV;293611,56;2527
202601;2026-01-11;Cinemax;IR;14995,78;194
202601;2026-01-11;Diadora TV;LTV;23154,82;2118
202601;2026-01-11;Epic Drama;LTV;313596,7;5209
202601;2026-01-11;HBO 2;IR;20507,25;277
202601;2026-01-11;Luxe TV;LTV;11151,18;494
202601;2026-01-11;RAI 2;LTV;15396,57;361
